ID;adj.P.Val;P.Value;F;GB_LIST
merck2-NM_030760_at;1.53e-12;2.52e-17;63.7353185;NM_030760 NM_001166215
merck2-M76482_at;5.91e-12;1.95e-16;58.5839245;NM_001944
merck-NM_001944_a_at;8.18e-12;4.17e-16;56.738089;NM_001944
merck-BX538327_at;8.18e-12;5.40e-16;56.1175904;NM_001944
merck-NM_030760_at;1.13e-11;9.32e-16;54.8202561;NM_030760 NM_001166215
merck-NM_005268_at;2.17e-11;2.15e-15;52.871155;NM_005268
merck-NM_001017920_at;2.32e-11;3.05e-15;52.0580207;NM_001017920
merck-NM_001010872_at;2.32e-11;3.06e-15;52.0503912;NM_001010872
merck-G36605_at;2.47e-11;3.68e-15;51.6352028;AF331842
merck-BE563343_s_at;3.27e-11;5.40e-15;50.7636591;NM_000424
merck2-NM_005555_at;6.68e-11;1.21e-14;48.9518434;NM_005555
merck2-NM_000424_at;9.53e-11;1.91e-14;47.9511394;NM_000424
merck-NM_000424_at;9.53e-11;2.05e-14;47.8018765;NM_000424
merck2-AK074475_at;9.83e-11;2.27e-14;47.5725827;NM_001941 NM_024423
merck2-AF297090_at;1.31e-10;3.25e-14;46.7946862;NM_001941 NM_024423
merck-AK024927_at;3.21e-10;8.47e-14;44.7493241;AK024927
merck-NM_198460_s_at;3.70e-10;1.04e-13;44.3233244;NM_198460
merck-NM_005185_at;3.71e-10;1.19e-13;44.0388826;NM_005185
merck-NM_001447_at;3.71e-10;1.21e-13;44.0041483;NM_001447
merck-NM_003722_s_at;3.71e-10;1.22e-13;43.9759649;NM_003722 NM_001114978 NM_001114980 NM_001114981
merck-NM_024423_a_at;3.71e-10;1.29e-13;43.8737104;NM_001941 NM_024423
merck-NM_178468_s_at;4.02e-10;1.46e-13;43.6079967;NM_178468
merck2-NM_012397_at;4.71e-10;1.80e-13;43.1733802;NM_012397
merck-NM_001723_at;4.71e-10;1.86e-13;43.0998846;NM_001723
merck2-BX647907_at;5.87e-10;2.50e-13;42.4983882;NM_198460
merck2-X05978_at;5.87e-10;2.52e-13;42.4805332;NM_005213
merck-NM_005213_at;6.10e-10;2.76e-13;42.2897623;NM_005213
merck-NM_012397_s_at;6.10e-10;2.89e-13;42.1976112;NM_012397
merck2-X79293_at;6.10e-10;2.92e-13;42.178093;NM_001005337 NM_000299 XM_001719894
merck-BG679113_s_at;7.43e-10;3.68e-13;41.7067838;NM_005554 NM_005555 NM_173086
merck-NM_000299_at;8.44e-10;4.31e-13;41.3821246;NM_001005337 NM_000299
merck-AY129027_s_at;8.60e-10;4.54e-13;41.2781718;AY129027
merck-BC027616_a_at;1.03e-09;5.59e-13;40.8590305;NM_178842
merck-NM_006536_at;1.30e-09;7.27e-13;40.3300483;NM_006536
merck-BC012471_a_at;1.37e-09;7.94e-13;40.1548961;NM_021101
merck2-NM_198460_at;1.37e-09;8.15e-13;40.1041494;NM_198460
merck-AY358652_a_at;1.73e-09;1.06e-12;39.5881978;NM_021101
merck-NM_001035223_s_at;2.53e-09;1.59e-12;38.7832342;NM_001161616 NM_001035223
merck2-ENST00000337164_s_at;3.25e-09;2.09e-12;38.2474048;
merck-NM_030630_s_at;3.42e-09;2.25e-12;38.0986095;NM_030630
merck2-AY157578_a_at;4.01e-09;2.73e-12;37.7249019;NM_022121
merck-NM_198965_s_at;4.01e-09;2.78e-12;37.6950217;NM_198965 NM_198966
merck2-AI989728_at;4.42e-09;3.14e-12;37.4584465;NM_002639
merck-NM_024101_at;4.74e-09;3.44e-12;37.2808648;NM_024101 NM_001042467
merck-ENST00000326972_s_at;5.22e-09;3.93e-12;37.0249896;NR_002223
merck2-AK094168_at;5.22e-09;3.96e-12;37.0110599;NM_024101 NM_001042467
merck2-ENST00000367021_at;6.03e-09;4.68e-12;36.6905596;NM_006147
