"","ID_REF","GSM1416528","GSM1416529","GSM1416530","GSM1416531","GSM1416532","GSM1416533","GSM1416534","GSM1416535","GSM1416536","GSM1416537","GSM1416538","GSM1416539","GSM1416540","GSM1416541","GSM1416542","GSM1416543","GSM1416544","GSM1416545","GSM1416546","GSM1416547","GSM1416548","GSM1416549","GSM1416550","GSM1416551","GSM1416552","GSM1416553","GSM1416554","GSM1416555","GSM1416556","GSM1416557","GSM1416558","GSM1416559","GSM1416560","GSM1416561","GSM1416562","GSM1416563","GSM1416564","GSM1416565","GSM1416566","GSM1416567","GSM1416568","GSM1416569","GSM1416570","GSM1416571","GSM1416572","GSM1416573","GSM1416574","GSM1416575","GSM1416576","GSM1416577","GSM1416578","GSM1416579","GSM1416580","GSM1416581","GSM1416582","GSM1416583","GSM1416584","GSM1416585","GSM1416586","GSM1416587","GSM1416588","GSM1416589","GSM1416590","GSM1416591","GSM1416592","GSM1416593","GSM1416594","GSM1416595","GSM1416596","GSM1416597","GSM1416598","GSM1416599","GSM1416600","GSM1416601","GSM1416602","GSM1416603","GSM1416604","GSM1416605","GSM1416606","GSM1416607","GSM1416608","GSM1416609","GSM1416610","GSM1416611","GSM1416612","GSM1416613","GSM1416614","GSM1416615","GSM1416616"
"12058","merck-BE563343_s_at",10.21785569,5.641131503,5.957316312,5.548873513,10.20099684,5.725870009,10.22029238,5.689381886,6.279962392,5.726566407,7.434391776,11.25400904,6.011771233,10.94120289,5.754683461,8.581779198,6.099189537,7.516462423,5.848982231,9.126050097,9.74376028,6.044681288,5.748738918,5.602046638,5.776651087,5.558369074,10.62740647,5.817069839,5.833198015,5.44126674,5.614106703,5.74011107,5.60196176,9.690315142,5.516150881,5.664823043,9.705241258,8.942995633,5.817688915,5.81896457,6.999889046,5.972239375,5.440304678,5.699099924,8.370116372,5.909834464,9.282231847,6.100859805,10.16105437,10.6819658,6.135111491,6.051748785,5.984540928,8.947165241,9.985437962,6.132811278,10.98171027,6.17777883,6.118619815,5.937879427,10.28165776,5.464261566,8.913938793,10.47760358,10.30593281,5.719145909,10.5129721,11.61660306,5.117663551,5.705104951,5.964829566,5.552746447,10.88136789,5.420929736,5.702800448,7.215016356,11.32482602,8.994850971,9.281884601,5.10520468,5.746727646,5.560905088,5.256650206,5.959320859,5.668865325,10.32020366,9.667147501,7.12692113,5.886223314
"15730","merck-BX538327_at",9.552920529,3.571599638,4.58809865,3.752333504,9.878785639,4.057583782,8.906108481,3.076381656,3.249836552,3.349570986,7.333276406,10.61580767,2.953836123,9.823120232,3.573587273,7.39003161,3.274194987,6.638760484,3.391765097,8.138991553,9.403952098,3.493425111,3.508490449,3.267208917,3.785272693,3.43214911,10.75535779,4.81888919,3.820094869,3.287853948,3.209627069,3.537512025,3.512358011,8.540788926,3.396162376,3.052964126,10.49141559,10.1497369,3.301708918,3.425990039,3.311480606,3.152942174,3.145120144,3.600534837,9.109033538,3.319699016,9.94258895,3.539942698,9.121599737,11.01244026,2.822707469,3.389607159,3.543558047,9.058894838,8.043614961,3.528909849,11.02604413,8.233872342,3.353330801,3.033346582,10.05652436,3.469517124,7.188665093,10.75543143,11.25094349,3.321139574,7.388047691,9.355250079,2.984223144,3.682848563,3.76531579,2.704811244,9.457088411,3.547756504,3.381439733,9.804646821,9.949892475,7.767854847,8.172462038,3.275397239,2.997914685,3.351014433,2.99248907,3.193803195,3.427068883,6.508466266,9.421950639,3.404563045,3.425123352
"21852","merck-G36605_at",6.248648945,2.835872451,3.057148892,3.178674078,5.638610475,3.246345666,7.230542192,3.000178622,3.454528244,3.624630482,5.319191123,7.751314416,3.209374935,6.396790753,3.001832682,6.220408805,3.071333108,5.073241037,3.050737962,5.924756113,7.065534226,2.964566437,3.093982206,3.122509875,3.398784432,2.856507018,5.844963497,4.20449007,4.303952936,3.2530813,2.981795341,3.88149998,3.464071409,4.878322333,2.708509016,3.665432753,4.575963874,6.331554248,2.717765113,3.397792937,2.633291287,2.67675684,3.41738549,2.846394193,6.046668194,3.896036419,6.232352463,3.630376209,7.113966517,7.485766092,2.873809891,2.668973173,5.323301942,5.967868556,5.379334503,3.342329831,7.558945677,4.554820077,5.484627543,2.946489185,6.040375209,3.146667205,4.983778591,6.325280516,5.516121958,3.559665317,5.587218853,7.417623114,2.423431678,2.561471106,2.745509627,3.160839243,5.558995807,4.184912478,2.955219261,6.607493914,6.825467527,6.115050909,5.056102076,3.700040023,2.81030168,4.746094663,2.789472721,3.747419482,3.400739309,5.333595904,6.473887923,4.978485196,3.436460736
"24817","merck-NM_001010872_at",5.980019249,3.88382424,3.998261826,2.93921376,6.841213921,3.360130193,5.946575975,2.448124738,2.950212783,3.626743368,6.327143026,6.828689843,3.292084626,5.995359666,4.3232606,4.719736354,2.772097927,3.785199529,2.252750952,7.111907353,7.322810164,2.432082673,3.009027119,3.109219769,3.526235744,3.011210821,6.204898048,3.725535395,5.435831126,3.405522328,3.159944246,5.810362231,3.018096003,5.887319636,3.998294571,3.293043519,5.769065964,6.91486814,2.123840384,5.151574296,4.147070793,2.415780916,2.361422326,2.35758942,7.415892888,3.24877353,6.292346183,2.537231948,6.821292111,7.829615437,2.665244658,2.475238455,3.263839447,5.871565658,6.523304576,3.21305612,6.61957308,6.997427706,2.560687454,2.299329395,7.235423904,2.662011197,5.510397055,6.186251297,8.540320018,2.564239066,5.713908902,6.645809154,2.217659171,3.340852671,2.542467334,2.748432564,6.625224806,3.197683374,2.262005842,7.168953891,6.9356281,5.430908101,4.879049172,2.544695948,2.254582071,3.342611805,2.56589916,3.469938545,2.411180577,6.792639328,6.986162042,6.468745766,4.661414617
"25188","merck-NM_001017920_at",10.12283154,4.426550184,7.624644057,4.32336936,9.423127108,4.159181946,8.027079114,4.932306467,4.374399281,3.859971271,8.611772146,12.17955605,3.882518431,9.889721663,4.55383244,11.49176427,3.488476774,4.897160637,4.663212083,9.02776141,8.888445623,3.591337607,4.542184913,4.393425624,4.337010515,4.602271736,7.807435411,6.300748705,8.362228435,5.349018987,5.06277502,3.445430599,6.860281481,7.854857082,4.563560027,5.705199224,11.96262313,9.463452572,3.992642922,4.455457278,4.916931442,4.085301055,3.599358575,4.836083144,11.05292681,4.61012409,10.77606527,4.623955265,9.358786057,9.383389607,3.64621718,4.12836655,4.192452221,6.788212636,11.48894274,4.426520699,7.905845019,9.616372049,11.83052695,3.867536863,9.544293861,4.568640593,10.62029364,9.290555324,7.928663865,3.46065618,11.06316711,11.86664639,4.50838782,3.493487082,4.766724734,5.599766626,10.7855607,6.974241659,4.844945654,10.78173321,12.12922932,10.57402195,4.040583853,4.076611949,7.003252561,3.910774517,4.077381378,4.456997884,3.989891336,6.865438791,4.340690134,3.991518245,5.106280261
"26580","merck-NM_001944_a_at",9.208029855,2.443632262,4.118638431,2.725098018,10.26837603,3.512499466,9.484350289,2.755679708,2.437632889,2.602265408,7.001129943,10.74386112,2.708350075,9.304288102,3.055389543,7.475718638,3.256136991,6.355938195,2.787468805,8.124345064,9.701764359,2.727752977,3.269528869,2.56571269,2.848219481,2.966514292,10.53191384,5.548853683,3.87133544,2.514214438,3.245759817,2.684224918,2.545232123,9.13239945,3.247299663,3.62741082,9.710239201,10.52616832,2.536115138,2.762747802,3.198828768,3.067570698,2.948631102,2.82644746,9.614508791,3.17816138,9.94028122,3.118807523,9.146906061,10.82585326,2.74604224,3.365608699,2.523815233,8.686477322,7.533122832,3.187790547,10.5948253,8.449378683,3.107595441,2.627924342,9.80215038,2.482154587,7.441098842,10.1390401,11.08623533,2.910439129,6.908422824,9.640565637,2.669151258,3.170630767,2.978917719,2.891419092,9.400079849,2.762677452,2.743685018,9.187455313,9.803330881,7.902528458,8.245503069,2.606416707,2.730462715,2.61498656,3.097804443,2.806063437,2.853854502,7.424042986,9.140017883,2.908489937,2.746981073
"28948","merck-NM_005268_at",8.462839844,5.77840362,4.656190104,4.773364733,9.11484673,5.971338063,9.299035884,5.693320057,6.483753799,5.795288205,7.53682968,9.777295488,5.18984088,8.262920887,5.537984938,8.693910177,5.271150451,7.308319612,6.082741028,8.963297262,9.645438027,5.18988239,5.507836583,7.660774819,4.797043156,5.858231188,10.04299207,6.468334787,4.644005995,5.546809465,5.549431729,4.558585115,5.684979577,7.772178629,5.721970547,5.665047434,8.588339213,10.23191494,5.42125889,6.911786489,5.788099528,4.918857768,5.228872851,5.343059351,7.868615205,6.997859916,8.714576445,8.035682837,9.463946017,10.36695442,4.856339401,5.18988239,5.238253288,9.757181676,9.276734245,5.51770056,10.07296304,9.471124164,5.862117402,5.02791915,9.210180699,5.042367751,7.693924603,9.277198518,9.1612226,5.182386738,7.900868962,9.69051462,5.14827306,5.568450255,5.759614936,5.008203328,9.434040897,5.758349474,5.433866901,9.180634538,9.85178943,7.674803059,7.785387347,5.539039579,5.560712471,4.770573258,5.226188182,5.063233526,5.32534059,9.499297032,8.508520494,4.834809133,6.173503254
"35200","merck-NM_030760_at",6.792495199,4.736391956,4.433698934,4.494969204,6.751556537,5.162696235,7.928564389,4.858057255,5.039736919,4.954861653,6.516952732,8.498328637,4.530840014,7.108033231,4.754893125,7.27513064,4.667153678,6.268355588,4.729670916,7.108088864,7.962071784,4.692288884,5.319596404,4.286921045,5.317084343,4.484066321,6.720841668,5.450496554,5.69718193,5.069125434,4.442371061,5.476698358,5.168951201,6.264196964,4.531000463,5.040575934,5.892090125,7.150357239,4.373614734,4.917840181,4.582264067,3.996700351,4.465335855,4.716385937,7.138156168,5.3803848,7.231817606,4.980635553,7.837210245,7.98700022,4.916588543,4.157856382,6.346159184,7.011795017,6.070905589,4.853986602,8.212179594,5.82839168,6.832020259,5.013352034,7.202717069,4.359651711,6.03967241,6.999161569,6.369712753,4.994728345,6.881804799,8.068591597,5.074766867,3.960267618,4.491279824,5.077002455,6.991938057,5.498773539,4.560671902,7.366947916,7.670643921,6.955525704,6.251690721,5.23565704,4.283343903,5.73860988,4.277529867,5.404494757,5.041046804,6.357793888,6.899289016,6.333055399,5.016979783
"56011","merck2-M76482_at",8.961569096,2.135900074,3.45502549,1.867815312,10.03091521,2.872236598,9.146384051,2.602343747,1.955484244,2.450163536,6.555461911,10.45504984,2.03291453,8.955011087,2.370709865,7.687919562,2.768796175,6.745589428,2.084092148,8.323096758,9.241886229,1.967064083,2.352292005,2.462735628,2.794861192,2.490407281,10.32124112,5.003621246,3.516446512,2.29610768,2.320159777,2.417787442,1.942565959,8.867786149,2.194391264,2.346089482,9.456107679,10.24953361,2.387261563,2.375942045,2.247094311,2.77983899,2.220103211,2.134027173,9.369880209,2.462851864,9.590532474,2.465360945,8.844919439,10.36959429,2.2411702,2.636023899,2.241783163,8.50050211,7.181131116,2.92829275,10.30503171,8.229429095,2.724031188,2.519223689,9.54346304,2.074670522,7.270741884,9.711216472,11.11352871,2.109478444,6.582214183,9.460899624,1.822180372,2.445533439,2.091478351,2.587136363,9.203643447,2.170136417,2.237734716,9.049988092,9.522216749,7.609388099,7.997496947,2.050442166,2.095667595,2.039573121,2.334369125,2.528190995,1.8021825,7.233599297,8.648034199,2.036899647,2.653796305
"58546","merck2-NM_030760_at",7.284892165,5.156272954,5.232552421,4.744462186,7.037124008,5.353254731,8.208224753,5.2372195,5.156441011,5.40497298,7.146835798,8.554288132,5.062374628,7.53114344,4.754292829,7.616070394,5.084046534,6.486206146,4.98255861,7.374486941,8.018553335,4.683431047,5.416188141,4.861317028,5.518027981,4.901738827,6.965859496,5.81224032,5.762644866,5.412110783,5.079375157,5.476698358,5.27617395,6.42323493,5.127222475,5.294314775,5.978460303,7.308216203,4.957645456,4.309204729,4.87025585,4.599708682,4.958824278,4.778843252,7.472202028,5.383534449,7.725576343,5.62210006,8.221310501,8.238043781,4.966265293,4.77359146,6.527577642,7.049416035,6.783446725,5.28748476,8.160206213,6.068259993,7.143799172,5.468422758,7.259774566,4.777506477,6.54323272,7.25804794,6.452113386,5.15339775,7.165739062,8.246618097,4.997263897,4.531492934,4.421754505,5.053780173,6.966465493,5.775849738,4.658973451,7.695883728,7.673093424,7.113210478,6.40881262,5.076793029,4.32348975,5.975421151,4.789640779,5.532451035,5.076235058,6.829350525,7.209603444,6.400815474,5.179406339
